model,dim_i,dim_j,tau_correct,tau_incorrect,delta,abs_delta
InternVL2-Pro,MCr,GS,0.1027,0.0763,+0.0264,0.0264
InternVL2-Pro,VL,VO,0.2661,0.2898,-0.0237,0.0237
InternVL2-Pro,MCu,CL,0.2273,0.2047,+0.0226,0.0226
InternVL2-Pro,AS,CL,0.1440,0.1656,-0.0216,0.0216
InternVL2-Pro,GS,CL,0.3804,0.3589,+0.0214,0.0214
InternVL2-Pro,MA,CL,0.0669,0.0850,-0.0181,0.0181
InternVL2-Pro,AT,GS,0.2242,0.2068,+0.0174,0.0174
InternVL2-Pro,AS,QLq,0.1146,0.0976,+0.0170,0.0170
InternVL2-Pro,MCr,AT,0.3676,0.3539,+0.0137,0.0137
InternVL2-Pro,VL,KNf,-0.0547,-0.0674,+0.0127,0.0127
InternVL2-Pro,AT,CL,0.2460,0.2560,-0.0099,0.0099
InternVL2-Pro,VL,CL,0.1235,0.1311,-0.0076,0.0076
InternVL2-Pro,MCu,AT,0.3578,0.3644,-0.0066,0.0066
InternVL2-Pro,MA,QLl,0.3223,0.3198,+0.0025,0.0025
LLaVA-1-6-Mistral-7B,GS,QLq,0.1058,-0.1327,+0.2386,0.2386
LLaVA-1-6-Mistral-7B,VL,MCr,0.5284,0.3282,+0.2002,0.2002
LLaVA-1-6-Mistral-7B,QLl,KNf,0.3137,0.1144,+0.1993,0.1993
LLaVA-1-6-Mistral-7B,VL,KNf,0.1129,-0.0839,+0.1968,0.1968
LLaVA-1-6-Mistral-7B,AT,QLq,0.3729,0.1868,+0.1861,0.1861
LLaVA-1-6-Mistral-7B,AT,QLl,0.4020,0.2257,+0.1763,0.1763
LLaVA-1-6-Mistral-7B,MCr,CL,0.0892,0.2550,-0.1658,0.1658
LLaVA-1-6-Mistral-7B,VL,MCu,0.3259,0.1652,+0.1607,0.1607
LLaVA-1-6-Mistral-7B,VL,QLq,0.2400,0.0876,+0.1524,0.1524
LLaVA-1-6-Mistral-7B,AS,AT,0.4164,0.2665,+0.1499,0.1499
LLaVA-1-6-Mistral-7B,AT,KNf,0.2480,0.0981,+0.1499,0.1499
LLaVA-1-6-Mistral-7B,MA,CL,0.2113,0.0624,+0.1489,0.1489
LLaVA-1-6-Mistral-7B,MCu,VO,0.3690,0.2253,+0.1437,0.1437
LLaVA-1-6-Mistral-7B,MCr,GS,-0.0315,0.1028,-0.1343,0.1343
LLaVA-1-6-Mistral-7B,MCu,GS,0.0241,0.1547,-0.1306,0.1306
LLaVA-1-6-Mistral-7B,KNf,CL,0.2451,0.1163,+0.1288,0.1288
LLaVA-1-6-Mistral-7B,GS,QLl,0.1382,0.0100,+0.1283,0.1283
LLaVA-1-6-Mistral-7B,VL,GS,-0.1275,-0.0027,-0.1248,0.1248
LLaVA-1-6-Mistral-7B,QLq,CL,0.2125,0.0922,+0.1203,0.1203
LLaVA-1-6-Mistral-7B,KNf,QLq,0.3972,0.2846,+0.1126,0.1126
LLaVA-1-6-Mistral-7B,AS,KNf,0.0968,-0.0105,+0.1073,0.1073
LLaVA-1-6-Mistral-7B,VO,GS,-0.0608,0.0445,-0.1054,0.1054
LLaVA-1-6-Mistral-7B,MCu,QLq,0.3386,0.2357,+0.1030,0.1030
LLaVA-1-6-Mistral-7B,MCu,MA,0.2891,0.1903,+0.0988,0.0988
LLaVA-1-6-Mistral-7B,MCr,MA,0.3674,0.2700,+0.0974,0.0974
LLaVA-1-6-Mistral-7B,VL,MA,0.4479,0.3521,+0.0959,0.0959
LLaVA-1-6-Mistral-7B,VO,KNf,0.1807,0.0854,+0.0953,0.0953
LLaVA-1-6-Mistral-7B,MCr,KNf,0.1666,0.0759,+0.0908,0.0908
LLaVA-1-6-Mistral-7B,VO,QLl,0.2887,0.3782,-0.0894,0.0894
LLaVA-1-6-Mistral-7B,AS,MCr,0.5241,0.4390,+0.0851,0.0851
LLaVA-1-6-Mistral-7B,VL,AT,0.2098,0.1276,+0.0823,0.0823
LLaVA-1-6-Mistral-7B,MA,KNf,0.1686,0.0883,+0.0803,0.0803
LLaVA-1-6-Mistral-7B,MCr,QLl,0.3185,0.3978,-0.0793,0.0793
LLaVA-1-6-Mistral-7B,AS,MA,0.4124,0.3335,+0.0789,0.0789
LLaVA-1-6-Mistral-7B,QLl,CL,0.2049,0.2778,-0.0729,0.0729
LLaVA-1-6-Mistral-7B,VO,QLq,0.2638,0.3343,-0.0705,0.0705
LLaVA-1-6-Mistral-7B,VL,AS,0.4566,0.3864,+0.0703,0.0703
LLaVA-1-6-Mistral-7B,MA,VO,0.2514,0.3216,-0.0703,0.0703
LLaVA-1-6-Mistral-7B,AT,GS,0.1495,0.2176,-0.0681,0.0681
LLaVA-1-6-Mistral-7B,VL,VO,0.3495,0.2838,+0.0658,0.0658
LLaVA-1-6-Mistral-7B,MCu,KNf,0.2556,0.1905,+0.0651,0.0651
LLaVA-1-6-Mistral-7B,MCr,MCu,0.4302,0.3713,+0.0588,0.0588
LLaVA-1-6-Mistral-7B,MA,AT,0.1835,0.1293,+0.0542,0.0542
LLaVA-1-6-Mistral-7B,MA,GS,0.0326,-0.0190,+0.0516,0.0516
LLaVA-1-6-Mistral-7B,AS,QLq,0.1483,0.0986,+0.0496,0.0496
LLaVA-1-6-Mistral-7B,MCr,QLq,0.2604,0.2108,+0.0496,0.0496
LLaVA-1-6-Mistral-7B,GS,KNf,0.0837,0.0427,+0.0411,0.0411
LLaVA-1-6-Mistral-7B,AS,CL,0.1949,0.1559,+0.0390,0.0390
LLaVA-1-6-Mistral-7B,AS,GS,0.0953,0.1326,-0.0373,0.0373
LLaVA-1-6-Mistral-7B,VO,CL,0.2578,0.2215,+0.0362,0.0362
LLaVA-1-6-Mistral-7B,VL,QLl,0.2300,0.2656,-0.0356,0.0356
LLaVA-1-6-Mistral-7B,AS,MCu,0.3450,0.3148,+0.0303,0.0303
LLaVA-1-6-Mistral-7B,MCr,VO,0.3822,0.3529,+0.0293,0.0293
LLaVA-1-6-Mistral-7B,VO,AT,0.2885,0.2618,+0.0267,0.0267
LLaVA-1-6-Mistral-7B,AS,QLl,0.2071,0.2306,-0.0235,0.0235
LLaVA-1-6-Mistral-7B,MCu,CL,0.1949,0.2172,-0.0223,0.0223
LLaVA-1-6-Mistral-7B,QLl,QLq,0.4500,0.4284,+0.0216,0.0216
LLaVA-1-6-Mistral-7B,AS,VO,0.3207,0.2993,+0.0214,0.0214
LLaVA-1-6-Mistral-7B,AT,CL,0.2349,0.2549,-0.0200,0.0200
LLaVA-1-6-Mistral-7B,MA,QLl,0.3059,0.3228,-0.0169,0.0169
LLaVA-1-6-Mistral-7B,GS,CL,0.3818,0.3650,+0.0167,0.0167
LLaVA-1-6-Mistral-7B,VL,CL,0.1245,0.1358,-0.0112,0.0112
LLaVA-1-6-Mistral-7B,MCu,QLl,0.2473,0.2563,-0.0089,0.0089
LLaVA-1-6-Mistral-7B,MA,QLq,0.2438,0.2519,-0.0081,0.0081
LLaVA-1-6-Mistral-7B,MCu,AT,0.3713,0.3774,-0.0060,0.0060
LLaVA-1-6-Mistral-7B,MCr,AT,0.3758,0.3699,+0.0059,0.0059
LLaVA-1-6-Yi-34B,VO,QLl,0.1649,0.4055,-0.2407,0.2407
LLaVA-1-6-Yi-34B,VL,MCu,0.3451,0.1297,+0.2155,0.2155
LLaVA-1-6-Yi-34B,AS,MCu,0.4771,0.2627,+0.2144,0.2144
LLaVA-1-6-Yi-34B,AS,AT,0.4375,0.2301,+0.2073,0.2073
LLaVA-1-6-Yi-34B,VO,CL,0.0467,0.2467,-0.1999,0.1999
LLaVA-1-6-Yi-34B,QLq,CL,-0.0483,0.1337,-0.1820,0.1820
LLaVA-1-6-Yi-34B,VL,AT,0.2532,0.0881,+0.1650,0.1650
LLaVA-1-6-Yi-34B,QLl,CL,0.1336,0.2935,-0.1598,0.1598
LLaVA-1-6-Yi-34B,AS,GS,0.2554,0.0961,+0.1593,0.1593
LLaVA-1-6-Yi-34B,AT,QLq,0.3255,0.1782,+0.1473,0.1473
LLaVA-1-6-Yi-34B,MCu,GS,0.2509,0.1218,+0.1291,0.1291
LLaVA-1-6-Yi-34B,VL,MA,0.4566,0.3367,+0.1199,0.1199
LLaVA-1-6-Yi-34B,AT,CL,0.1520,0.2691,-0.1171,0.1171
LLaVA-1-6-Yi-34B,MCr,MCu,0.4630,0.3493,+0.1137,0.1137
LLaVA-1-6-Yi-34B,MCu,MA,0.2885,0.1751,+0.1134,0.1134
LLaVA-1-6-Yi-34B,GS,CL,0.2846,0.3969,-0.1123,0.1123
LLaVA-1-6-Yi-34B,KNf,CL,0.0444,0.1532,-0.1088,0.1088
LLaVA-1-6-Yi-34B,MA,QLl,0.2353,0.3355,-0.1003,0.1003
LLaVA-1-6-Yi-34B,MCr,CL,0.1427,0.2402,-0.0975,0.0975
LLaVA-1-6-Yi-34B,MA,QLq,0.3190,0.2259,+0.0931,0.0931
LLaVA-1-6-Yi-34B,VO,QLq,0.2434,0.3327,-0.0893,0.0893
LLaVA-1-6-Yi-34B,AT,QLl,0.3171,0.2304,+0.0867,0.0867
LLaVA-1-6-Yi-34B,MA,KNf,0.1559,0.0722,+0.0837,0.0837
LLaVA-1-6-Yi-34B,QLl,KNf,0.0708,0.1514,-0.0805,0.0805
LLaVA-1-6-Yi-34B,VL,KNf,-0.0033,-0.0813,+0.0780,0.0780
LLaVA-1-6-Yi-34B,MA,VO,0.2468,0.3247,-0.0779,0.0779
LLaVA-1-6-Yi-34B,QLl,QLq,0.3653,0.4426,-0.0773,0.0773
LLaVA-1-6-Yi-34B,MA,AT,0.1912,0.1146,+0.0766,0.0766
LLaVA-1-6-Yi-34B,MCu,AT,0.4222,0.3519,+0.0703,0.0703
LLaVA-1-6-Yi-34B,MCr,GS,0.1400,0.0697,+0.0702,0.0702
LLaVA-1-6-Yi-34B,AS,QLq,0.1467,0.0777,+0.0690,0.0690
LLaVA-1-6-Yi-34B,VL,QLl,0.2081,0.2750,-0.0669,0.0669
LLaVA-1-6-Yi-34B,MCr,VO,0.3025,0.3646,-0.0621,0.0621
LLaVA-1-6-Yi-34B,MCr,MA,0.3282,0.2671,+0.0612,0.0612
LLaVA-1-6-Yi-34B,GS,QLq,-0.1388,-0.0839,-0.0549,0.0549
LLaVA-1-6-Yi-34B,KNf,QLq,0.2539,0.3075,-0.0537,0.0537
LLaVA-1-6-Yi-34B,MCu,QLl,0.2970,0.2447,+0.0522,0.0522
LLaVA-1-6-Yi-34B,MA,GS,0.0272,-0.0239,+0.0512,0.0512
LLaVA-1-6-Yi-34B,MCr,QLq,0.2516,0.2005,+0.0511,0.0511
LLaVA-1-6-Yi-34B,VL,VO,0.2509,0.2960,-0.0451,0.0451
LLaVA-1-6-Yi-34B,MCr,QLl,0.4199,0.3759,+0.0440,0.0440
LLaVA-1-6-Yi-34B,VO,GS,0.0739,0.0303,+0.0436,0.0436
LLaVA-1-6-Yi-34B,GS,KNf,0.0196,0.0607,-0.0411,0.0411
LLaVA-1-6-Yi-34B,AS,KNf,0.0257,-0.0146,+0.0403,0.0403
LLaVA-1-6-Yi-34B,VO,KNf,0.0585,0.0982,-0.0398,0.0398
LLaVA-1-6-Yi-34B,MCu,CL,0.1744,0.2135,-0.0391,0.0391
LLaVA-1-6-Yi-34B,VL,AS,0.4212,0.3874,+0.0338,0.0338
LLaVA-1-6-Yi-34B,AS,CL,0.1771,0.1437,+0.0333,0.0333
LLaVA-1-6-Yi-34B,MCr,AT,0.3893,0.3599,+0.0294,0.0294
LLaVA-1-6-Yi-34B,AT,GS,0.1967,0.2256,-0.0289,0.0289
LLaVA-1-6-Yi-34B,VL,CL,0.1460,0.1190,+0.0270,0.0270
LLaVA-1-6-Yi-34B,AS,MA,0.3618,0.3359,+0.0259,0.0259
LLaVA-1-6-Yi-34B,MCu,KNf,0.1753,0.2010,-0.0257,0.0257
LLaVA-1-6-Yi-34B,VL,GS,-0.0311,-0.0072,-0.0239,0.0239
LLaVA-1-6-Yi-34B,VL,QLq,0.0790,0.1003,-0.0213,0.0213
LLaVA-1-6-Yi-34B,AS,MCr,0.4606,0.4422,+0.0184,0.0184
LLaVA-1-6-Yi-34B,AS,VO,0.2869,0.3026,-0.0157,0.0157
LLaVA-1-6-Yi-34B,MCu,VO,0.2485,0.2342,+0.0143,0.0143
LLaVA-1-6-Yi-34B,AT,KNf,0.1247,0.1108,+0.0139,0.0139
LLaVA-1-6-Yi-34B,MCu,QLq,0.2540,0.2412,+0.0128,0.0128
LLaVA-1-6-Yi-34B,MCr,KNf,0.0732,0.0841,-0.0109,0.0109
LLaVA-1-6-Yi-34B,GS,QLl,0.0383,0.0304,+0.0079,0.0079
LLaVA-1-6-Yi-34B,AS,QLl,0.2149,0.2222,-0.0073,0.0073
LLaVA-1-6-Yi-34B,VL,MCr,0.3472,0.3532,-0.0060,0.0060
LLaVA-1-6-Yi-34B,MA,CL,0.0781,0.0724,+0.0057,0.0057
LLaVA-1-6-Yi-34B,VO,AT,0.2548,0.2603,-0.0055,0.0055
Mini-Gemini-HD-LLaMA3-8B,MCu,QLq,0.4462,0.1926,+0.2536,0.2536
Mini-Gemini-HD-LLaMA3-8B,MA,CL,0.2491,0.0423,+0.2068,0.2068
Mini-Gemini-HD-LLaMA3-8B,AS,AT,0.4422,0.2422,+0.2000,0.2000
Mini-Gemini-HD-LLaMA3-8B,MCu,MA,0.3571,0.1572,+0.1999,0.1999
Mini-Gemini-HD-LLaMA3-8B,VO,QLl,0.1937,0.3912,-0.1976,0.1976
Mini-Gemini-HD-LLaMA3-8B,MA,AT,0.2762,0.1002,+0.1760,0.1760
Mini-Gemini-HD-LLaMA3-8B,KNf,CL,0.2612,0.1027,+0.1586,0.1586
Mini-Gemini-HD-LLaMA3-8B,VL,AS,0.2637,0.4140,-0.1502,0.1502
Mini-Gemini-HD-LLaMA3-8B,MCr,VO,0.2281,0.3725,-0.1443,0.1443
Mini-Gemini-HD-LLaMA3-8B,AS,GS,0.0214,0.1528,-0.1314,0.1314
Mini-Gemini-HD-LLaMA3-8B,AS,QLq,0.1954,0.0652,+0.1302,0.1302
Mini-Gemini-HD-LLaMA3-8B,MCr,QLq,0.3158,0.1866,+0.1291,0.1291
Mini-Gemini-HD-LLaMA3-8B,QLq,CL,0.2030,0.0803,+0.1228,0.1228
Mini-Gemini-HD-LLaMA3-8B,VL,QLl,0.1573,0.2745,-0.1172,0.1172
Mini-Gemini-HD-LLaMA3-8B,MCu,QLl,0.3462,0.2303,+0.1158,0.1158
Mini-Gemini-HD-LLaMA3-8B,GS,KNf,-0.0465,0.0683,-0.1148,0.1148
Mini-Gemini-HD-LLaMA3-8B,MCr,KNf,0.1716,0.0617,+0.1099,0.1099
Mini-Gemini-HD-LLaMA3-8B,MCr,GS,-0.0094,0.0991,-0.1084,0.1084
Mini-Gemini-HD-LLaMA3-8B,VL,AT,0.2142,0.1084,+0.1058,0.1058
Mini-Gemini-HD-LLaMA3-8B,MA,QLq,0.3238,0.2219,+0.1019,0.1019
Mini-Gemini-HD-LLaMA3-8B,MCr,MCu,0.4541,0.3526,+0.1015,0.1015
Mini-Gemini-HD-LLaMA3-8B,AS,MCu,0.3873,0.2870,+0.1003,0.1003
Mini-Gemini-HD-LLaMA3-8B,AS,VO,0.2196,0.3094,-0.0898,0.0898
Mini-Gemini-HD-LLaMA3-8B,AT,GS,0.1398,0.2218,-0.0820,0.0820
Mini-Gemini-HD-LLaMA3-8B,MCr,QLl,0.4520,0.3704,+0.0816,0.0816
Mini-Gemini-HD-LLaMA3-8B,GS,CL,0.3013,0.3823,-0.0810,0.0810
Mini-Gemini-HD-LLaMA3-8B,VL,MCr,0.2825,0.3625,-0.0800,0.0800
Mini-Gemini-HD-LLaMA3-8B,VL,MA,0.2896,0.3656,-0.0760,0.0760
Mini-Gemini-HD-LLaMA3-8B,MA,VO,0.2448,0.3159,-0.0711,0.0711
Mini-Gemini-HD-LLaMA3-8B,MCu,CL,0.2600,0.1913,+0.0687,0.0687
Mini-Gemini-HD-LLaMA3-8B,VL,CL,0.0734,0.1346,-0.0612,0.0612
Mini-Gemini-HD-LLaMA3-8B,VO,KNf,0.0396,0.0992,-0.0595,0.0595
Mini-Gemini-HD-LLaMA3-8B,AT,CL,0.2002,0.2576,-0.0574,0.0574
Mini-Gemini-HD-LLaMA3-8B,AT,QLl,0.2044,0.2570,-0.0526,0.0526
Mini-Gemini-HD-LLaMA3-8B,VL,GS,-0.0603,-0.0083,-0.0521,0.0521
Mini-Gemini-HD-LLaMA3-8B,MCr,AT,0.4108,0.3589,+0.0520,0.0520
Mini-Gemini-HD-LLaMA3-8B,MA,GS,0.0262,-0.0241,+0.0503,0.0503
Mini-Gemini-HD-LLaMA3-8B,AS,QLl,0.1811,0.2307,-0.0496,0.0496
Mini-Gemini-HD-LLaMA3-8B,VL,QLq,0.0538,0.1017,-0.0479,0.0479
Mini-Gemini-HD-LLaMA3-8B,VL,VO,0.2413,0.2884,-0.0471,0.0471
Mini-Gemini-HD-LLaMA3-8B,MCr,MA,0.3171,0.2710,+0.0461,0.0461
Mini-Gemini-HD-LLaMA3-8B,VL,MCu,0.2049,0.1593,+0.0455,0.0455
Mini-Gemini-HD-LLaMA3-8B,QLl,KNf,0.1713,0.1274,+0.0439,0.0439
Mini-Gemini-HD-LLaMA3-8B,AS,CL,0.1185,0.1578,-0.0393,0.0393
Mini-Gemini-HD-LLaMA3-8B,QLl,QLq,0.3969,0.4355,-0.0387,0.0387
Mini-Gemini-HD-LLaMA3-8B,MA,QLl,0.3435,0.3062,+0.0373,0.0373
Mini-Gemini-HD-LLaMA3-8B,VO,AT,0.2295,0.2662,-0.0367,0.0367
Mini-Gemini-HD-LLaMA3-8B,VO,GS,-0.0022,0.0338,-0.0360,0.0360
Mini-Gemini-HD-LLaMA3-8B,MCu,VO,0.2551,0.2219,+0.0332,0.0332
Mini-Gemini-HD-LLaMA3-8B,AT,KNf,0.0883,0.1204,-0.0321,0.0321
Mini-Gemini-HD-LLaMA3-8B,KNf,QLq,0.3220,0.2908,+0.0312,0.0312
Mini-Gemini-HD-LLaMA3-8B,GS,QLq,-0.0788,-0.1087,+0.0300,0.0300
Mini-Gemini-HD-LLaMA3-8B,VO,CL,0.1873,0.2170,-0.0297,0.0297
Mini-Gemini-HD-LLaMA3-8B,MA,KNf,0.0735,0.1005,-0.0270,0.0270
Mini-Gemini-HD-LLaMA3-8B,MCr,CL,0.2021,0.2262,-0.0241,0.0241
Mini-Gemini-HD-LLaMA3-8B,GS,QLl,0.0492,0.0266,+0.0226,0.0226
Mini-Gemini-HD-LLaMA3-8B,MCu,GS,0.1244,0.1468,-0.0223,0.0223
Mini-Gemini-HD-LLaMA3-8B,VO,QLq,0.3006,0.3190,-0.0184,0.0184
Mini-Gemini-HD-LLaMA3-8B,AS,KNf,0.0108,-0.0072,+0.0180,0.0180
Mini-Gemini-HD-LLaMA3-8B,AS,MA,0.3232,0.3386,-0.0154,0.0154
Mini-Gemini-HD-LLaMA3-8B,VL,KNf,-0.0705,-0.0564,-0.0141,0.0141
Mini-Gemini-HD-LLaMA3-8B,MCu,AT,0.3817,0.3677,+0.0139,0.0139
Mini-Gemini-HD-LLaMA3-8B,AS,MCr,0.4579,0.4441,+0.0138,0.0138
Mini-Gemini-HD-LLaMA3-8B,AT,QLq,0.1947,0.2078,-0.0131,0.0131
Mini-Gemini-HD-LLaMA3-8B,MCu,KNf,0.1898,0.1963,-0.0066,0.0066
Mini-Gemini-HD-LLaMA3-8B,QLl,CL,0.2663,0.2653,+0.0009,0.0009
Mini-Gemini-HD-Yi-34B,VO,KNf,-0.0981,0.1389,-0.2370,0.2370
Mini-Gemini-HD-Yi-34B,MA,VO,0.1233,0.3462,-0.2229,0.2229
Mini-Gemini-HD-Yi-34B,VO,QLq,0.1536,0.3558,-0.2021,0.2021
Mini-Gemini-HD-Yi-34B,MCu,QLl,0.3768,0.2266,+0.1502,0.1502
Mini-Gemini-HD-Yi-34B,VO,CL,0.1185,0.2589,-0.1405,0.1405
Mini-Gemini-HD-Yi-34B,AS,KNf,-0.1054,0.0328,-0.1382,0.1382
Mini-Gemini-HD-Yi-34B,MA,KNf,-0.0129,0.1238,-0.1367,0.1367
Mini-Gemini-HD-Yi-34B,VL,CL,0.0381,0.1673,-0.1291,0.1291
Mini-Gemini-HD-Yi-34B,VO,QLl,0.2643,0.3918,-0.1275,0.1275
Mini-Gemini-HD-Yi-34B,AT,QLq,0.2923,0.1801,+0.1122,0.1122
Mini-Gemini-HD-Yi-34B,AS,AT,0.3583,0.2544,+0.1039,0.1039
Mini-Gemini-HD-Yi-34B,VL,KNf,-0.1383,-0.0357,-0.1026,0.1026
Mini-Gemini-HD-Yi-34B,QLl,QLq,0.3527,0.4525,-0.0998,0.0998
Mini-Gemini-HD-Yi-34B,VL,QLl,0.1837,0.2827,-0.0990,0.0990
Mini-Gemini-HD-Yi-34B,MA,CL,0.1567,0.0639,+0.0928,0.0928
Mini-Gemini-HD-Yi-34B,QLq,CL,0.0425,0.1350,-0.0925,0.0925
Mini-Gemini-HD-Yi-34B,MCr,VO,0.2789,0.3700,-0.0911,0.0911
Mini-Gemini-HD-Yi-34B,VL,MCr,0.2788,0.3690,-0.0902,0.0902
Mini-Gemini-HD-Yi-34B,MA,GS,0.0619,-0.0248,+0.0867,0.0867
Mini-Gemini-HD-Yi-34B,MA,AT,0.1925,0.1077,+0.0848,0.0848
Mini-Gemini-HD-Yi-34B,AS,VO,0.2324,0.3141,-0.0817,0.0817
Mini-Gemini-HD-Yi-34B,MA,QLl,0.2549,0.3348,-0.0799,0.0799
Mini-Gemini-HD-Yi-34B,QLl,CL,0.2075,0.2858,-0.0782,0.0782
Mini-Gemini-HD-Yi-34B,MCu,MA,0.2478,0.1754,+0.0724,0.0724
Mini-Gemini-HD-Yi-34B,GS,CL,0.4175,0.3469,+0.0707,0.0707
Mini-Gemini-HD-Yi-34B,VL,QLq,0.0437,0.1142,-0.0705,0.0705
Mini-Gemini-HD-Yi-34B,GS,KNf,-0.0003,0.0685,-0.0688,0.0688
Mini-Gemini-HD-Yi-34B,MCr,KNf,0.0344,0.0992,-0.0648,0.0648
Mini-Gemini-HD-Yi-34B,VO,AT,0.2062,0.2705,-0.0643,0.0643
Mini-Gemini-HD-Yi-34B,AT,GS,0.2663,0.2034,+0.0629,0.0629
Mini-Gemini-HD-Yi-34B,AS,MCr,0.4947,0.4320,+0.0627,0.0627
Mini-Gemini-HD-Yi-34B,MCu,QLq,0.2884,0.2258,+0.0626,0.0626
Mini-Gemini-HD-Yi-34B,GS,QLl,0.0771,0.0156,+0.0615,0.0615
Mini-Gemini-HD-Yi-34B,AT,KNf,0.0685,0.1292,-0.0606,0.0606
Mini-Gemini-HD-Yi-34B,MCu,GS,0.1999,0.1413,+0.0586,0.0586
Mini-Gemini-HD-Yi-34B,MA,QLq,0.1935,0.2513,-0.0578,0.0578
Mini-Gemini-HD-Yi-34B,AT,QLl,0.2956,0.2398,+0.0558,0.0558
Mini-Gemini-HD-Yi-34B,VL,MA,0.3180,0.3723,-0.0543,0.0543
Mini-Gemini-HD-Yi-34B,VL,VO,0.2413,0.2941,-0.0528,0.0528
Mini-Gemini-HD-Yi-34B,MCr,MCu,0.4111,0.3632,+0.0478,0.0478
Mini-Gemini-HD-Yi-34B,MCr,CL,0.1999,0.2435,-0.0436,0.0436
Mini-Gemini-HD-Yi-34B,MCu,AT,0.3972,0.3596,+0.0375,0.0375
Mini-Gemini-HD-Yi-34B,QLl,KNf,0.1074,0.1445,-0.0371,0.0371
Mini-Gemini-HD-Yi-34B,AS,GS,0.1650,0.1286,+0.0363,0.0363
Mini-Gemini-HD-Yi-34B,VO,GS,0.0178,0.0529,-0.0351,0.0351
Mini-Gemini-HD-Yi-34B,MCu,VO,0.2007,0.2357,-0.0350,0.0350
Mini-Gemini-HD-Yi-34B,AT,CL,0.2813,0.2475,+0.0339,0.0339
Mini-Gemini-HD-Yi-34B,KNf,CL,0.1560,0.1264,+0.0296,0.0296
Mini-Gemini-HD-Yi-34B,AS,MCu,0.3313,0.3059,+0.0254,0.0254
Mini-Gemini-HD-Yi-34B,MCu,CL,0.2383,0.2136,+0.0247,0.0247
Mini-Gemini-HD-Yi-34B,MCr,MA,0.2606,0.2836,-0.0230,0.0230
Mini-Gemini-HD-Yi-34B,MCr,AT,0.3853,0.3627,+0.0226,0.0226
Mini-Gemini-HD-Yi-34B,KNf,QLq,0.2801,0.3024,-0.0223,0.0223
Mini-Gemini-HD-Yi-34B,VL,GS,-0.0235,-0.0016,-0.0219,0.0219
Mini-Gemini-HD-Yi-34B,VL,MCu,0.1595,0.1805,-0.0210,0.0210
Mini-Gemini-HD-Yi-34B,AS,QLq,0.0790,0.1001,-0.0210,0.0210
Mini-Gemini-HD-Yi-34B,MCr,GS,0.0772,0.0959,-0.0187,0.0187
Mini-Gemini-HD-Yi-34B,MCr,QLl,0.3763,0.3947,-0.0184,0.0184
Mini-Gemini-HD-Yi-34B,GS,QLq,-0.1026,-0.0921,-0.0105,0.0105
Mini-Gemini-HD-Yi-34B,VL,AT,0.1369,0.1267,+0.0102,0.0102
Mini-Gemini-HD-Yi-34B,AS,QLl,0.2264,0.2341,-0.0076,0.0076
Mini-Gemini-HD-Yi-34B,AS,CL,0.1678,0.1612,+0.0067,0.0067
Mini-Gemini-HD-Yi-34B,AS,MA,0.3434,0.3369,+0.0065,0.0065
Mini-Gemini-HD-Yi-34B,MCu,KNf,0.1893,0.1933,-0.0040,0.0040
Mini-Gemini-HD-Yi-34B,VL,AS,0.3948,0.3916,+0.0032,0.0032
Mini-Gemini-HD-Yi-34B,MCr,QLq,0.2113,0.2126,-0.0013,0.0013
MiniCPM-V2,AS,MCu,0.5064,0.2761,+0.2304,0.2304
MiniCPM-V2,VO,CL,0.0707,0.2563,-0.1856,0.1856
MiniCPM-V2,AT,QLl,0.4053,0.2217,+0.1835,0.1835
MiniCPM-V2,VL,GS,0.1160,-0.0514,+0.1674,0.1674
MiniCPM-V2,VL,AT,0.2701,0.1101,+0.1600,0.1600
MiniCPM-V2,AS,AT,0.4178,0.2578,+0.1600,0.1600
MiniCPM-V2,QLl,QLq,0.2986,0.4542,-0.1556,0.1556
MiniCPM-V2,VL,AS,0.5208,0.3716,+0.1492,0.1492
MiniCPM-V2,MCr,MCu,0.4974,0.3487,+0.1487,0.1487
MiniCPM-V2,KNf,CL,0.2568,0.1089,+0.1478,0.1478
MiniCPM-V2,AS,QLl,0.3468,0.2059,+0.1409,0.1409
MiniCPM-V2,VO,QLl,0.2479,0.3864,-0.1384,0.1384
MiniCPM-V2,MCu,MA,0.3189,0.1815,+0.1374,0.1374
MiniCPM-V2,MCr,AT,0.4781,0.3451,+0.1330,0.1330
MiniCPM-V2,MCu,QLl,0.3666,0.2360,+0.1306,0.1306
MiniCPM-V2,AS,GS,0.2195,0.1007,+0.1189,0.1189
MiniCPM-V2,VO,QLq,0.2215,0.3388,-0.1173,0.1173
MiniCPM-V2,AS,MCr,0.5456,0.4323,+0.1134,0.1134
MiniCPM-V2,AS,CL,0.2459,0.1348,+0.1111,0.1111
MiniCPM-V2,VL,QLq,0.0147,0.1201,-0.1054,0.1054
MiniCPM-V2,MCr,VO,0.2664,0.3714,-0.1050,0.1050
MiniCPM-V2,MA,KNf,0.1766,0.0758,+0.1008,0.1008
MiniCPM-V2,MA,QLl,0.2399,0.3338,-0.0939,0.0939
MiniCPM-V2,MCu,AT,0.4466,0.3573,+0.0893,0.0893
MiniCPM-V2,GS,QLq,-0.1739,-0.0856,-0.0883,0.0883
MiniCPM-V2,VO,AT,0.1914,0.2766,-0.0852,0.0852
MiniCPM-V2,GS,QLl,0.0955,0.0133,+0.0822,0.0822
